Topic,Data,authorized_identities
Sexual Harassment,"Formal complaints mechanism
If the victim wants to make a formal complaint or if the informal complaint mechanism has not led to a satisfactory outcome for the victim, the formal complaint mechanism should be used to resolve the matter.
The designated person who initially received the complaint will refer the matter to a senior human resources manager to instigate a formal investigation. The senior human resources manager may deal with the matter him/herself, refer the matter to an internal or external investigator or refer it to a committee of three others in accordance with this policy [Choose what options are most appropriate for the company].
The person carrying out the investigation will:
 interview the victim and the alleged harasser separately
 interview other relevant third parties separately
 decide whether or not the incident(s) of sexual harassment took place
 produce a report detailing the investigations, findings and any recommendations
 if the harassment took place, decide what the appropriate remedy for the victim is, in
consultation with the victim (i.e.- an apology, a change to working arrangements, a promotion if the victim was demoted as a result of the harassment, training for the harasser, discipline, suspension, dismissal)
 follow up to ensure that the recommendations are implemented, that the behaviour has stopped and that the victim is satisfied with the outcome
 if it cannot determine that the harassment took place, he/she may still make recommendations to ensure proper functioning of the workplace
 keep a record of all actions taken
 ensure that the all records concerning the matter are kept confidential
 ensure that the process is done as quickly as possible and in any event within 60 days of the complaint being made",HR
Consulting Agreement,"NOW THEREFORE, in consideration of the mutual agreements and covenants hereafter set forth, the Parties
hereto agree as follows:
1. Services
The Consultant agrees to provide certain consultancy and advisory services (“Services”) to the Company in
accordance with the terms set out in this Agreement and the consideration for the same shall be as set forth under
Clause 3. The Services shall include advisory, mentorship and strategic advice for the growth of the Company and
to assist the Company in developing its business strategy and [___].
2. Term
This Agreement shall come into force on the Effective Date and shall continue to be valid for [__] months
(“Term”) unless terminated earlier in accordance with this Agreement.
3. Payment Terms
In consideration for the Services provided, the Consultant shall be issued and allotted [___] equity shares of the
Company of a face value of Rs. [___] each (“Advisory Equity”). The Consultant hereby acknowledges that: (a)
the Advisory Equity constitutes sufficient consideration for the Services provided by him hereunder; and (b) there
shall be no monetary consideration payable by the Company for the Services provided hereunder. The
consideration is exclusive of all taxes under applicable law. The Consultant shall be responsible for payment of all
applicable taxes for the Services rendered by him hereunder.",Legal
Consulting Agreement,"the Intellectual Property Rights, in such Deliverables. Each Consultant shall provide such further assurances, take
such action, and execute such further documents and instruments as the Company may reasonably request in order
to carry out the purposes of this Clause 4.
To the extent that any Deliverable is based on or uses or embodies any material of a Consultant that was created
outside or prior to this Agreement (“Pre-existing Material”) then, in consideration for the fees payable under
this Agreement, such Consultant hereby grants the Company, a limited, worldwide right to use the Pre-existing
Material as long as such use is required for the use of the Deliverables by the Company. The Parties agree and
acknowledge that all rights in and to the Pre-existing Material shall continue to be with the Consultant except for
the limited rights expressly granted to the Company under this Clause 4.
“Deliverable” for the purposes of this Agreement shall mean any report, document, paper, drawing, design,
presentation, photo, graphic, logo, typographical arrangement, software or any other material not including the
Pre-existing Material that is provided by the Consultants and represented to be the final deliverable in performing
the Services under this Agreement.
“Intellectual Property Rights” for the purposes of this Agreement shall mean patents, rights to inventions,
copyright and related rights, trademarks, trade names and domain names, rights in goodwill or to sue for passing
off, rights in designs, rights in computer software, database rights, rights in confidential information (including
know-how and trade secrets) and any other intellectual property rights, in each case whether registered or
unregistered and including all applications (or rights to apply) for, and renewals or extensions of, such rights and
all similar or equivalent rights or forms of protection which may now or in the future subsist in any part of the
world.",Legal
Consulting Agreement,"Warranty and Disclaimers
(a) The Consultant warrants to the Company that he: (i) has all necessary rights and authority to enter into and
perform this Agreement; (ii) has no conflict of interest in respect of any third party obligations that he is
bound by, in performance of this Agreement.
(b) The Consultant hereby disclaims, and the Company expressly waives all other conditions, representations
and guarantees, whether express or implied, arising by law, custom, oral or written statements of the
Consultant or third parties including, but not limited to, any warranty of merchantability or fitness for
particular purpose or of error-free and uninterrupted use or of non-infringement except to the extent
expressly provided in this agreement.",Legal
Consulting Agreement,"7. Termination
Either Party may terminate this Agreement by issuing a written notice of termination to the other Party [___] days
in advance of such intended termination. The Consultant shall not be liable to refund any amount in respect of
the Advisory Equity or part thereof, or transfer any part of the Advisory Equity to the Company upon earlier
termination of this Agreement, provided that such termination was not for reasons of breach or default on part
of the Consultant.
8. Nature of Relationship
The Consultant is engaged by the Company in the capacity of an independent contractor to render the Services in
accordance with the terms of this Agreement. Nothing in this Agreement shall be construed to mean that the
Consultant is an employee, worker, agent or partner of the Company. Nothing in this Agreement shall be
construed to have created a joint venture between the Parties.",Legal
Consulting Agreement,"Force Majeure
Neither Party shall be responsible for delays or failures in performance resulting from acts of god, acts of civil or
military authority, fire, flood, strikes, war, epidemics, shortage of power, or other acts or causes reasonably beyond
the control of such Party. The Party experiencing the force majeure event agrees to give the other Party notice
promptly following the occurrence of a force majeure event, and to use diligent efforts to re-commence
performance as promptly as commercially practicable.
11. Non-exclusivity
The Services provided by the Consultant under this Agreement is not exclusive to the Company and the Consultant
shall have the right to enter into similar arrangements with any third party without the knowledge or consent of
the Company. Nothing in this Agreement shall prevent the Consultant from being engaged, concerned or having
any financial or other interest in any capacity in any other business or entity during the term of this Agreement as
long as such activity does not cause a breach of the obligations of the Consultant under this Agreement",Legal
Consulting Agreement,"Delivery by Electronic Means
This Agreement, to the extent signed and delivered by electronic means, shall be treated in all manner and respects
as an original agreement and shall be considered to have the same binding legal effect as if it were the original
signed version thereof delivered in person.
13. Entire agreement
This Agreement sets forth the entire agreement of the parties with respect to the subject matter hereof, and
supersedes all prior oral and written agreements, understandings, representations, conditions and all other
communications relating thereto.
14. Severability
If any provision of this Agreement is held to be unenforceable or invalid, the other provisions shall continue in
full force and effect.
15. Governing Law and Dispute Resolution
This Agreement shall be interpreted in accordance with the substantive laws of the Republic of India, exclusive of
any choice of law provisions. Any dispute arising under this Agreement shall be within the sole and exclusive
jurisdiction of competent courts in [__]",Legal
Security Breach data,,IT
Security Breach data,,IT
Price List,"Equipment Name             Model No.        Description        Price (USD)
Digital X-Ray Machine      DXR-2000        High-resolution digital radiography system               $75,000
Ultrasound Scanner          US-500        Portable ultrasound scanner with color Doppler            $25,000
ECG Machine                   ECG-12        12-lead electrocardiogram machine                              $3,500
Defibrillator                       DEF-300        Automated external defibrillator with LCD display        $1,200
Patient Monitor                 PM-600        Multi-parameter patient monitoring system                    $5,000
Infusion Pump                  IP-200        Programmable infusion pump for IV therapy                    $800
Ventilator                         VENT-1000        ICU-grade mechanical ventilator                               $20,000
Surgical Operating Table  SOT-400        Electrically adjustable surgical table                            $15,000
Anesthesia Machine        AM-700        Advanced anesthesia delivery system                           $10,000
Oxygen Concentrator       OXY-500        High-flow oxygen concentrator                                   $1,500
Wheelchair                        WC-300        Lightweight folding wheelchair                                    $200
Hospital Bed                   HB-1000        Electric hospital bed with adjustable height                  $500
Notes:

Prices are in USD and are subject to change without prior notice.
Taxes, shipping, and installation charges are not included in the listed prices.
For bulk orders or inquiries about specific models not listed, please contact our sales department.",Sales
Price List,"Interior Design Services Price List
Effective Date: 25/05/2024
1. Design Consultation Services
Initial Consultation: $200 (up to 2 hours)
Follow-up Consultation: $100 per hour
2. Design Packages
a. Basic Package: $1,500
Includes concept development, floor plan layout, and basic color scheme selection for one room.
b. Standard Package: $3,500
Includes concept development, floor plan layout, detailed color scheme selection, furniture selection, and lighting plan for up to three rooms.
c. Premium Package: $6,000
Includes concept development, floor plan layout, detailed color scheme selection, furniture selection, lighting plan, and custom design elements for the entire house.",Sales
Price List,"Terms and Conditions
Payment Terms: A deposit of 50% of the total project cost is required upon signing the contract, with the remaining balance due upon completion of the project.
Scope of Work: The scope of work will be outlined in detail in the contract, including the specific services to be provided and any limitations.
Changes and Revisions: Minor changes and revisions to the design will be accommodated within the agreed-upon scope of work. Additional charges may apply for significant changes requested by the client.
Cancellation Policy: Cancellation of services must be made in writing at least 14 days prior to the scheduled start date of the project. A cancellation fee of 25% of the total project cost will apply for cancellations made less than 14 days before the start date.
Ownership of Design: The client will have full ownership of the final design upon completion of the project, including any design drawings, plans, and renderings.
Liability: The interior designer shall not be liable for any damages or losses incurred as a result of the client's failure to adhere to the recommendations provided.
Governing Law: This agreement shall be governed by the laws of [Insert Jurisdiction], and any disputes arising from it shall be resolved through arbitration.",Sales
Price List,"
Certainly! Here's a sample price list document for salon services, along with necessary clauses:

Salon Services Price List

Effective Date: [Insert Date]

1. Hair Services

Haircut: $30
Wash and Blowout: $25
Hair Coloring:
Root Touch-up: $50
Full Color: $80
Highlights/Lowlights: $100
Keratin Treatment: $150
2. Nail Services

Manicure: $20
Pedicure: $30
Gel Manicure: $35
Acrylic Nails: $40
Nail Art: Starting from $5 (depending on design)
3. Skincare Services

Facial:
Basic Facial: $50
Deep Cleansing Facial: $70
Waxing:
Eyebrow Waxing: $15
Full Leg Wax: $60
Eyelash Extensions: $80
Microdermabrasion: $100
4. Makeup Services

Makeup Application:
Day/Natural Makeup: $40
Evening/Glam Makeup: $60
Bridal Makeup: $100 (includes trial session)
Terms and Conditions

Payment Terms: Payment is due at the time of service. We accept cash, credit/debit cards, and digital payment methods.

Appointment Policy: Appointments are recommended to ensure availability. Walk-ins are welcome but subject to availability.

Cancellation Policy: Please provide at least 24 hours' notice if you need to cancel or reschedule your appointment. A cancellation fee of 50% of the service cost may apply for appointments canceled less than 24 hours in advance.

Late Arrival: Please arrive on time for your appointment. We may need to reschedule your appointment if you arrive more than 15 minutes late, and a cancellation fee may apply.

Satisfaction Guarantee: We strive to provide excellent service. If you are not satisfied with your service, please let us know immediately so we can make it right.

Health and Safety: Our salon maintains strict cleanliness and hygiene standards to ensure the safety of our clients and staff. Please inform us of any allergies or medical conditions before your service.

Children Policy: For the comfort and safety of all clients, we kindly request that children be supervised at all times and only brought to the salon if they have a scheduled appointment.",Sales
Price List,"
Dental Services Price List

Effective Date: [Insert Date]

1. Preventive Services

Dental Exam (Comprehensive): $100
Dental Cleaning (Prophylaxis): $80
X-Rays:
Bitewing X-Rays: $50
Panoramic X-Ray: $100
Fluoride Treatment: $40
2. Restorative Services

Tooth-Colored Fillings:
Composite (One Surface): $150
Composite (Two Surfaces): $200
Dental Crowns:
Porcelain Crown: $800
Zirconia Crown: $900
Dental Bridges: $1,200 per unit
3. Endodontic Services

Root Canal Therapy:
Anterior Teeth: $700
Premolar Teeth: $800
Molar Teeth: $900
4. Prosthodontic Services

Complete Dentures (Upper or Lower): $1,000
Partial Dentures: $800
Dental Implants:
Implant Placement: $1,500 (per implant)
Implant Restoration (Abutment and Crown): $1,500 (per implant)
5. Cosmetic Dentistry

Teeth Whitening (In-Office): $300
Porcelain Veneers (Per Tooth): $1,000
Cosmetic Bonding (Per Tooth): $200
",Sales
Price List,"Heart Surgery Services Price List

Effective Date: 25/05/2024

1. Coronary Artery Bypass Grafting (CABG)

Single-Vessel CABG: $25,000
Double-Vessel CABG: $35,000
Triple-Vessel CABG: $45,000
2. Valve Repair or Replacement

Mitral Valve Repair: $30,000
Aortic Valve Replacement: $40,000
Tricuspid Valve Repair: $35,000
Pulmonary Valve Replacement: $35,000
3. Pacemaker Implantation

Single-Chamber Pacemaker: $10,000
Dual-Chamber Pacemaker: $15,000
Biventricular Pacemaker: $20,000
4. Aneurysm Repair

Abdominal Aortic Aneurysm Repair: $50,000
Thoracic Aortic Aneurysm Repair: $60,000
5. Heart Transplant

Heart Transplant Surgery: $300,000 (excluding post-operative care)
6. Diagnostic Procedures

Cardiac Catheterization: $5,000
Electrophysiology Study (EPS): $7,500
Stress Test: $2,000
",Sales
Settlement Agreement,"We are , hereafter Mr. Daniel Radcliffe called Husband, and , hereafter Ms. Emma Watson called Wife. We were married on and separated on . Because irreconcilable differences have caused the permanent breakdown of our marriage, we have made this agreement together to settle once and for all what we owe to Each of us states here that nothing has been held back, that we have honestly included everything we could think of in listing the money and goods that we own; and each of us states here that we believe the other one has been open and honest in writing up this agreement. And each of us agrees to sign and exchange any papers that may be needed to complete this agreement. Each of us also understands that even after a Joint Petition for Summary Dissolution is filed, this entire agreement will be cancelled if either of us revokes the Dissolution Proceeding.",Legal
Settlement Agreement,"The parties agree that in the event that the appellant believes that the agency has failed to comply with the terms of this agreement, the procedures set forth at 29 C.F.R. Section 1614.504 shall govern. Appellant shall notify the agency's EEO Director, in writing, of the alleged noncompliance within 30 days of when the appellant knew or should have known of a breach of this agreement. The appellant may request that the terms of the settlement agreement be specifically implemented or, alternatively, that the complaint be reinstated for further processing from the point processing ceased. The agency shall resolve the matter and respond to the appellant in writing. If the agency has not responded to the appellant, in writing, or if the appellant is not satisfied with the agency's attempt to resolve the matter, the appellant may appeal to the Commission for a determination as to whether the agency has complied with the terms of the settlement agreement or final decision. The appellant may file such an appeal 35 days after [he/she] has served the agency with the allegations of noncompliance, but must file an appeal within 30 days of [his/her] receipt of an agency's determination",Legal
Settlement Agreement,"This Settlement Agreement (“Settlement Agreement”) is made as of the 9th day of October, 2012, by and between Aluminium Bahrain B.S.C., a company organized under the laws of the Kingdom of Bahrain, the shares of which are majority owned by the Government of Bahrain’s state holding company, the Mumtalakat Holding Co., B.S.C. (“Alba”), Alcoa Inc., a corporation organized under the laws of Pennsylvania, U.S.A. (“Alcoa”), Alcoa World Alumina LLC, a limited liability company organized under the laws of Delaware, U.S.A. (“AWA”) and William Rice, a citizen of the United States (“Rice”) (Alcoa, AWA and Rice collectively referred to as the “Alcoa Parties”) (Alba, Alcoa, AWA and Rice may each be referred to as a “Party”, or collectively as the “Parties”).

WHEREAS Alba and the Alcoa Parties are parties to an action in the U.S. District Court for the Western District of Pennsylvania, under the caption Aluminium Bahrain B.S.C. v. Alcoa Inc., Alcoa World Alumina LLC, William Rice and Victor Dahdaleh, No. 2:08-CV-00299 (DWA) (the “Litigation”);

WHEREAS the Parties hereto wish to enter into this Settlement Agreement to avoid further litigation expenses and disruption, and to settle their differences with respect to all claims and defenses pleaded or that could have been pleaded in the above-listed action, and all other disputes relating thereto, subject to and upon the terms and conditions set forth in this Settlement Agreement, with no admission of liability by any Party; and

NOW, THEREFORE, in consideration of the mutual promises and undertakings set forth herein, the receipt and sufficiency of which are hereby mutually acknowledged, and intending to be legally bound hereby, the Parties hereby agree as follows:

1. Definitions: For purposes of this Settlement Agreement, the terms defined in this Article shall have the meaning specified and shall be applicable to both the singular and plural forms.

(A) “Affiliate” shall mean:

(1) any Entity, whether now existing or created in the future, that in whatever country organized or resident, directly, or indirectly through one or more intermediaries, is controlled by, or is under common control with, or controls, or shares control of, a Party; or

(2) any Entity, whether now existing or created in the future, in which any Party or Entity recited in the preceding paragraph (1) directly, or indirectly through one or more intermediaries has at least a fifty percent (50%) ownership or voting rights interest (whether through stock ownership, stock power, voting proxy, or otherwise) or has the maximum ownership interest it is permitted to have in the country where such Entity exists.

(B) “Dahdaleh” shall mean Victor P. Dahdaleh and his Affiliates, Entities, predecessors, successors, privies, heirs, executors, administrators and assigns and any member, partner, employee, agent, attorney, privy or representative of his Affiliates, Entities, predecessors, successors, privies, heirs, executors, administrators and assigns.",Legal
Settlement Agreement,"The Department of Justice conducted investigations of the packaging, marketing,
sale, structuring, arrangement, and issuance of residential mortgage-backed securities (“RMBS”)
and collateralized debt obligations (“CDOs”) by Citigroup between 2006 and 2007. Based on
those investigations, the United States believes that there is an evidentiary basis to compromise
potential legal claims by the United States against Citigroup for violations of federal laws in
connection with the packaging, marketing, sale, structuring, arrangement, and issuance of RMBS
and CDOs.
B. The States, based on their independent investigations of the same conduct, believe
that there is an evidentiary basis to compromise potential legal claims by California, Delaware,
Illinois, Massachusetts, and New York against Citigroup for state law violations in connection
with the packaging, marketing, sale, structuring, arrangement, and issuance of RMBS and CDOs.",Legal
Settlement Agreement,"Payment. Citigroup shall pay a total amount of $4,500,000,000.00 to resolve pending
and potential legal claims in connection with the packaging, marketing, sale, structuring,
arrangement, and issuance of RMBS and CDOs by Citigroup (“Settlement Amount”). As set out
below, $4,000,000,000.00 of that amount will be deposited in the United States Treasury and the
remainder is paid to resolve the claims of the States and the FDIC, pursuant to the subsequent
provisions of this Paragraph 1.
A. Within fifteen business days of receiving written payment processing instructions
from the Department of Justice, Office of the Associate Attorney General, Citigroup shall pay
$4,208,250,000.00 of the Settlement Amount by electronic funds transfer to the Department of
Justice.",Legal
Distribution/Partner Agreement,"Order placement/acceptance
4.1 The DISTRIBUTOR shall place the order with Genus India for supply of the products with remittance as provided
in clause 8 herein.
4.2 The quantity ordered for each individual line shall be in multiples of standard pack size of such product which is considered reasonable.
4.3 Receipt by Genus India of remittance against an order shall neither imply acceptance of such order nor shall it imply Genus India has agreed to sell the Products at a price other than the price ruling on the date of dispatch by Genus India.
4.4 All orders for the Products so placed by the DISTRIBUTOR with Genus India shall be subject to acceptance by Genus India. If an order is accepted, Genus India may deliver the Products by such mode of transport, at such times, in such convenient lots and quantities, as Genus India shall in its discretion decide. Genus India shall be entitled at any time after acceptance of an order to cancel the same in whole or in part even though it shall have been partly executed. For this purpose, each lot dispatched against an order shall be deemed a separate contract and the failure of dispatch of one lot shall not vitiate or affect the contract as to other lots. The order shall be deemed to have been accepted by Genus India on the date of dispatch and only in respect of the goods actually dispatched",Sales
Distribution/Partner Agreement,"Export Law
Distributor acknowledges and agrees that the Products may be subject to export restrictions and controls. Distributor agrees and certifies that neither the Products nor any component thereof is being or will be acquired, shipped, transferred, exported or re-exported, directly or indirectly, into any country prohibited by export restrictions and controls. Distributor bears all responsibility for export law compliance. Without limiting the generality of the foregoing obligation, Distributor hereby expressly agrees that, without the prior written authorization of Company and the United States Government, Distributor will not, and will cause its representatives to agree not to, export, re-export, divert or transfer any Product to any destination, company or person prohibited by the Export Administration Regulations or other export control laws and regulations. Distributor shall make its records available to Company at Company's request, in order to permit Company to confirm Distributor's compliance with its obligations as set forth in this Section 19. Distributor will indemnify Company against all claims based on Distributor's exporting the product.",Sales
Distribution/Partner Agreement,"Delivery
13.1 Delivery under such contracts of sale by Genus India shall be deemed to be sufficient if Genus India sends to the
DISTRIBUTOR railway receipt/ lorry receipt/ bill of lading / delivery order or other document entitling the
DISTRIBUTOR to obtain delivery of the products. The date of delivery shall mean the date of dispatch as appearing on
such railway/lorry receipt/ bill of lading / delivery order or such other document if that be the mode of delivery adopted
in a particular case, or otherwise the actual date of delivery
13.2 Without prejudice to what is stated under the terms hereunder, where goods are dispatched by road through any
transport undertaking other than that of the State Government or Local Authority, if the DISTRIBUTOR so desires, he
may request Genus India to pursue any claim of the DISTRIBUTOR with the carrier arising out of losses or damage to
the goods. If the Redistribution Stockist wishes to avail of the facility he shall make an endorsement after examining
the goods to that effect in delivery challan within seven (7) days after the goods arrive at the destination.",Sales
Distribution/Partner Agreement,"6. Sale price
6.1 The sale of products by Genus India to the DISTRIBUTOR shall be at the rates chargeable as per Genus India's
price list on the date of dispatch.
6.2 Each lot dispatched against an order shall be invoiced at Genus India's prices to DISTRIBUTOR at the prices ruling on the date of dispatch which when so invoiced shall be binding on the DISTRIBUTOR without any previous notice in that regard. Genus India shall be entitled to vary the prices of the products at any time up to the date of dispatch.
7. Maximum Retail Price
Genus India shall be entitled to suggest Maximum Retail Price (MRP) in respect of the resale or disposal by the DISTRIBUTOR's of the stock of the Products supplied to the DISTRIBUTOR in orders placed by the DISTRIBUTOR. The DISTRIBUTOR shall not charge in excess of the MRP suggested by Genus India but he may at his discretion charge prices lower than the suggested MRP.",Sales
Distribution/Partner Agreement,"9. Hold the goods in trust
If the DISTRIBUTOR pays the price of the goods by cheque, then the DISTRIBUTOR shall hold the goods or the value thereof in Trust for the benefit of Genus India until the full amount of the cheque is realized.
10. Lien on goods
Genus India shall have lien over the goods or the value thereof and /or any other goods/stocks and other materials which are in possession with the DISTRIBUTOR till the receipt of payment by Genus India.
11. Unpaid Cheque
Each sale to the DISTRIBUTOR shall be treated as a cash sale and in case the said cheque is not realized within their reasonable period or returned unpaid then the DISTRIBUTOR would replace the said cheque by RTGS /Demand Draft payment only within seven days of intimation from Genus India to the DISTRIBUTOR; failing which Genus India shall initiate legal action and also terminate this agreement if deem necessary by Genus India. In case the cheque issued by the DISTRIBUTOR is dishonoured except due to fault of Genus India, the charges for such dishonour shall be payable by the DISTRIBUTOR.",Sales
Customer List,"The tech giant Microsoft holds a market value of $2 trillion. It dominates 43.25% of the computer market and offers several services like the Windows operating system, Microsoft 365, Azure, Xbox, and more. In 2003, it introduced another tool- Microsoft Dynamics CRM (then named Microsoft Business Solutions Customer Relationship Management 1.0).
Through MS Dynamics 365, users see all data on their sales and customers in one place. As the name suggests, CRM, or customer relationship management, focuses on customer interactions. It helps foster leads through multichannel campaigns, target matched audiences, and personalized customer experiences. Microsoft Dynamics CRM market share currently stands at 7.49%, with Salesforce and Zoho as its closest competitors.
Businesses use this tool to gain insights into their brand’s reputation and market through live data analysis. It also offers lead scoring models that help prioritize leads and lets you build custom dashboards. Moreover, it also provides automation and AI services, giving you space for innovation",Sales
Customer List,"Over the years Keene Systems has developed custom software systems for some of the world's most prestigious companies. Some of them are as following:

Food Industry
Allied Distillers
Alouette Cheese
Arnott's Biscuits (Largest cookie company in Australia)
Bromor Foods Ltd. (South Africa)
Butterball Turkey
Cadbury Beverages
Guinness Breweries
Hershey Canada
Hormel Foods Corporation
Joseph's Gourmet Pasta
J.M. Smucker Company
Lindt Chocolate
McCormick & Company (Spices)
Ocean Spray Cranberries
Perdue Farms
Pinnacle Foods Group (Birds Eye)
Pontiac Foods (Grocery Products for Kroger)
President Baking Company (Owned by Keebler, part of Kellogs)
Ralston Foods
Rich SeaPak (Seafood Products)
Sara Lee Bakery
State Fair Foods, Inc. (now owned by Hillshire Brands)
Tate & Lyle Sugars (UK)
Tootsie Rolls Industries
Uncle Ben's
Weaver Popcorn Co.",Sales
Customer List,"Customer                        Industry                                              Category
Airbus                             Aerospace and Defense         Contract Lifecycle Management
Allina Health                   Healthcare                              Contract Lifecycle Management
Applied Materials, Inc.    Manufacturing                         Contract Lifecycle Management
Subscribe                       Oil, Gas and Chemicals          Contract Lifecycle Management",Sales
Customer List,"Being in software service industry, we have served some of the best hightech companies such as following :

BAE Systems (Defense Contractor)
EDS (now owned by Hewlett-Packard)
Harris Corporation (Comm. & IT equipment manufacturer)
IBM
Texas Instruments
Technical Communications Corporation (Comm. equipment manufacturer)
CAPE Systems (Palletization software)
Northwoods Software (Diagramming software)
Oberon Media (Gamming software)
Computac (IT solutions for publishing)
ImmersivX (IT Solutions for construction & architecture)
Analogic Corporation (Medical Imaging)
ConvaTec (Medical products)
Delphi Automotive
Mack Trucks
Mohawk Fine Papers
Graphic Packaging International
Greenwood Emergency Vehicles
Lacks Enterprises (Automotive)
Ohmeda Medical Equipment (Now owned by GE)
Oneida Cutlery
Perseco Company (Did McDonalds' Packaging)
Phillips Lighting",Sales
Customer List,"COMPANY NAME                 INDUSTRY                 COUNTRY          COMPANY SIZE
Thomson Reuters             Information Services        United States        25k to 27k
Sainsbury's                                Retail                       United Kingdom      5k to 14k
Swisscom                        Telecommunications          Switzerland            19k to 20k
Mizuho Financial Group        Financial Services        Japan                     41k to 49k
Qantas                                    Airlines                        Australia                 24k to 30k",Sales
Executive Severance Agreement,"(b) In the event the employment of the Executive is terminated by the Company for a reason other than for Cause or by the Executive for Good Reason, within twelve (12) months following a Change of Control (as defined below) of the Company, (i) the Company shall pay to the Executive (as severance pay), the Change of Control Severance (as defined below) in regular bi-weekly payments over the Severance Period (as defined below) and (ii) all of the Executive’s stock options and/or restricted stock which vest solely based on continued service and not based on performance, which are then outstanding shall be immediately vested, such vested awards that were granted as restricted stock shall be free of restrictions and such vested awards that were granted as options shall remain exercisable for a period of 6 months following the Executive’s last day of employment (but not to exceed the original term of such awards). Additionally, notwithstanding anything to the contrary in the Company’s 2010 Incentive Award Plan or any successor plan thereto regarding full vesting of options or restricted stock under certain circumstances following a Change of Control, which the Executive hereby waives, Executive agrees that the Performance Options (as defined in the Offer Letter) shall vest only in 20% installments for each Price Performance Threshold (as defined in the Offer Letter) which has been met at the time of the Change of Control, and any other performance based restricted stock will vest pro rata based on the proportion of the performance period completed through the Termination Date, and at the target performance level. In addition, the Company shall pay the Executive in monthly installments the difference between the premium Executive is required to pay for COBRA continuation benefits under the same type of coverage he (and if applicable his dependents) had immediately prior to the Termination Date and the amount Executive would have paid as an active employee of the Company for the Severance Period, or if earlier, the date Executive no longer receives COBRA coverage.

(c) The Executive agrees that after the Termination Date, but prior to payment of the severance pay called for by Section 3(a) or Section 3(b), as the case may be, he shall execute a waiver and release (including confidentiality and non-disparagement provisions), in the form attached hereto as Exhibit A, of any and all claims he may have against the Company and its officers, employees, directors, parents, subsidiaries and affiliates. Executive understands and agrees that the payment of the severance benefits called for by this Agreement are contingent upon his execution and delivery to the Company of the previously described release of claims and such release being effective and not revoked on the sixtieth (60th) day following the Termination Date. The severance payable under Section 3(a) or Section 3(b), as applicable shall commence with the first payroll following the date the release of claims described above is effective ; provided, that if the period in which Executive may sign and return the release spans more than one taxable year, payment will not commence until the later taxable year. If the release of claims is not effective on the sixtieth (60th) day after the Termination Date no severance",HR
Executive Severance Agreement,"with Treasury Regulation Section 1.280G-1, Q/A-30 or any successor provision, shall be equal to the Eliminated Amount, if any), shall be treated as Eliminated Payments. In the event that the Executive fails to deliver an Executive Response on or before the required date, the Company’s initial determination shall be final and the Contingent Compensation Payments that shall be treated as Eliminated Payments shall be determined by the Company in its absolute discretion. If the Executive states in the Executive Response that he agrees with the Company’s determination, the Company shall make the Potential Payments to the Executive within three business days following delivery to the Company of the Executive Response (except for any Potential Payments which are not due to be made until after such date, which Potential Payments shall be made on the date on which they are due). If the Executive states in the Executive Response that he disagrees with the Company’s determination, then, for a period of 60 days following delivery of the Executive Response, the Executive and the Company shall use good faith efforts to resolve such dispute. If such dispute is not resolved within such 60-day period, such dispute shall be settled exclusively by arbitration in Boston, Massachusetts, in accordance with the rules of the American Arbitration Association then in effect. Judgment may be entered on the arbitrator’s award in any court having jurisdiction. The Company shall, within three business days following delivery to the Company of the Executive Response, make to the Executive those Potential Payments as to which there is no dispute between the Company and the Executive regarding whether they should be made (except for any such Potential Payments which are not due to be made until after such date, which Potential Payments shall be made on the date on which they are due). The balance of the Potential Payments shall be made within three business days following the resolution of such dispute.",HR
